SHT1A1	Complement component C3	2450	7470	140	2166	2030	677	42	43	14	99	99	0	776	750	195	130	131	24	100	100	0	3.288	3.206	3.355	2.995	1.958	3.521	0.817	156	1140	2770	2608	1.717	2124	646	1988	620	0
NPT-1	Neomycin phosphotransferase	2430	7850	130	1333	1312	183	41	42	13	100	100	0	535	529	111	128	129	25	100	99	0	3.174	3.17	3.163	3.302	1.475	3.295	0.826	120	930	1699	1672	1.667	1292	407	1271	401	0
TGF-l1	Translation elongation factor 1-d	2440	8250	120	1126	2057	1772	42	43	18	100	100	0	422	615	399	124	125	25	100	99	0	3.638	4.104	4.056	3.86	1.644	4.582	0.861	120	820	1382	2506	1.863	1084	298	2015	491	0
H70-g1	HSP-70	2440	8660	140	1326	1492	887	40	42	15	100	100	0	512	589	303	122	124	25	98	96	0	3.297	3.109	3.118	3.182	1.424	3.186	0.902	156	1140	1676	1919	1.721	1286	390	1452	467	0
G45-l1	40S Ribosomal protein S26	2430	9050	150	51	76	62	39	41	13	46	30	0	140	143	30	122	124	23	41	21	0	0.667	1.762	1.214	1.111	4.57	2.503	0.082	156	1262	30	58	-0.585	12	18	37	21	-50
CAT-l1	Unknown aj409363	2440	9450	130	225	350	276	40	40	13	100	99	0	265	306	124	121	124	24	99	95	0	1.285	1.676	1.452	1.38	1.787	2.018	0.784	120	940	329	495	0.361	185	144	310	185	0
SRC-o2	Unknown aj310516	2430	9830	120	424	517	276	39	40	13	100	100	0	378	414	151	124	125	25	100	100	0	1.516	1.648	1.566	1.57	1.518	1.808	0.786	120	810	639	768	0.6	385	254	478	290	0
H27-l3	Chromosome condensation protein	2430	10250	130	117	180	139	40	41	13	92	85	0	194	206	56	125	126	25	90	67	0	1.116	1.728	1.459	1.315	2.892	2.371	0.428	120	940	146	221	0.158	77	69	140	81	0
FYN-l4	c-fyn	2430	10650	130	719	799	335	39	40	13	100	100	0	572	627	214	126	127	24	100	100	0	1.525	1.517	1.543	1.465	1.486	1.563	0.894	120	940	1126	1261	0.608	680	446	760	501	0
ALAS-o26	NADP-menadione oxidoreductase	2430	11060	130	384	379	69	40	41	14	100	100	0	307	304	54	125	127	25	100	100	0	1.89	1.894	1.947	1.945	1.418	1.96	0.773	120	930	526	518	0.918	344	182	339	179	0
