SHT1A1	Complement component C3	2420	7680	120	2070	2077	795	40	41	9	100	100	0	1558	1598	637	117	118	19	100	100	0	1.409	1.375	1.406	1.404	1.345	1.369	0.903	120	810	3471	3518	0.494	2030	1441	2037	1481	0
NPT-1	Neomycin phosphotransferase	2420	8060	120	268	295	180	39	41	9	99	97	0	258	285	106	116	117	18	100	99	0	1.613	1.515	1.47	1.349	2.016	1.689	0.763	120	810	371	425	0.689	229	142	256	169	0
TGF-l1	Translation elongation factor 1-d	2440	8460	120	467	755	900	40	40	9	100	100	0	494	696	636	116	117	19	100	100	0	1.13	1.233	1.11	1.071	1.687	1.391	0.822	120	820	805	1295	0.176	427	378	715	580	0
H70-g1	HSP-70	2420	8850	120	511	620	447	39	40	9	100	100	0	574	667	360	116	117	20	100	100	0	1.031	1.054	1.055	0.968	1.487	1.139	0.908	120	810	930	1132	0.043	472	458	581	551	0
G45-l1	40S Ribosomal protein S26	2430	9260	150	42	49	33	39	40	9	31	12	0	131	135	34	114	115	19	44	21	0	0.176	0.476	0.397	0.408	4.061	0.447	0.145	156	1272	20	31	-2.503	3	17	10	21	-50
CAT-l1	Unknown aj409363	2430	9650	120	98	129	106	39	40	9	90	85	0	240	268	106	113	113	19	97	97	0	0.465	0.581	0.489	0.457	2.25	0.727	0.692	120	820	186	245	-1.106	59	127	90	155	0
SRC-o2	Unknown aj310516	2430	10050	120	206	263	216	39	40	9	97	95	0	314	355	160	115	116	20	100	100	0	0.839	0.933	0.87	0.729	1.962	1.116	0.841	120	820	366	464	-0.253	167	199	224	240	0
H27-l3	Chromosome condensation protein	2440	10460	140	54	96	144	39	40	9	58	43	0	189	215	95	114	116	19	91	79	0	0.2	0.564	0.356	0.341	3.441	1.268	0.415	156	1140	90	158	-2.322	15	75	57	101	0
FYN-l4	c-fyn	2430	10850	120	418	452	282	39	40	9	99	99	0	544	607	306	114	116	20	100	100	0	0.881	0.838	0.85	0.766	1.657	0.865	0.909	120	820	809	906	-0.182	379	430	413	493	0
ALAS-o26	NADP-menadione oxidoreductase	2420	11260	120	173	178	70	39	40	9	98	96	0	292	307	99	117	117	19	99	98	0	0.766	0.732	0.746	0.72	1.868	0.696	0.741	120	810	309	329	-0.385	134	175	139	190	0
SHT1A1	Complement component C3	2830	7660	120	2147	2110	961	40	41	9	100	100	0	1624	1649	653	115	116	20	100	100	0	1.396	1.349	1.362	1.279	1.512	1.393	0.943	120	810	3616	3604	0.482	2107	1509	2070	1534	0
NPT-1	Neomycin phosphotransferase	2830	8080	120	287	313	171	39	41	9	100	99	0	268	286	95	117	116	19	98	96	0	1.642	1.621	1.7	1.584	1.724	1.808	0.74	120	820	399	443	0.716	248	151	274	169	0
TGF-l1	Translation elongation factor 1-d	2830	8440	120	464	768	1017	39	40	9	99	99	0	479	717	769	115	116	19	100	100	0	1.168	1.211	1.051	1.043	1.659	1.31	0.893	120	820	789	1331	0.224	425	364	729	602	0
H70-g1	HSP-70	2860	8860	120	524	642	449	40	40	9	100	99	0	595	694	397	118	119	20	100	100	0	1.015	1.045	1.022	0.96	1.562	1.088	0.911	120	820	961	1178	0.021	484	477	602	576	0
G45-l1	40S Ribosomal protein S26	2830	9260	150	41	48	38	40	41	10	20	7	0	130	137	37	116	116	19	42	19	0	0.071	0.381	0.485	0.473	3.096	0.573	0.202	156	1272	15	29	-3.807	1	14	8	21	-50
CAT-l1	Unknown aj409363	2830	9670	120	101	132	107	40	41	9	87	81	0	234	271	109	114	115	20	98	95	0	0.508	0.586	0.51	0.429	2.988	0.723	0.67	120	820	181	249	-0.976	61	120	92	157	0
SRC-o2	Unknown aj310516	2810	10040	120	207	275	229	39	40	10	96	95	0	308	357	166	117	117	20	100	100	0	0.88	0.983	0.838	0.772	2.069	1.17	0.852	120	820	359	476	-0.185	168	191	236	240	0
H27-l3	Chromosome condensation protein	2830	10440	140	55	87	108	39	40	9	60	44	0	191	209	77	114	115	19	89	77	0	0.208	0.505	0.318	0.338	3.553	1.008	0.381	156	1140	93	143	-2.267	16	77	48	95	0
FYN-l4	c-fyn	2840	10850	120	423	456	281	39	41	9	98	97	0	566	606	297	114	115	19	100	100	0	0.85	0.848	0.838	0.748	1.736	0.881	0.909	120	820	836	909	-0.235	384	452	417	492	0
ALAS-o26	NADP-menadione oxidoreductase	2840	11280	120	169	173	66	40	41	9	98	97	0	302	299	82	115	116	20	100	97	0	0.69	0.723	0.756	0.702	1.787	0.714	0.738	120	796	316	317	-0.536	129	187	133	184	0
SHT1A1	Complement component C3	3220	7680	130	2129	2089	790	40	40	9	100	100	0	1626	1640	630	114	115	20	100	100	0	1.382	1.343	1.369	1.342	1.388	1.343	0.926	120	940	3601	3575	0.466	2089	1512	2049	1526	0
NPT-1	Neomycin phosphotransferase	3240	8070	120	301	327	166	40	40	9	100	99	0	265	289	105	114	116	20	99	99	0	1.728	1.64	1.684	1.589	1.697	1.764	0.722	120	820	412	462	0.79	261	151	287	175	0
TGF-l1	Translation elongation factor 1-d	3220	8450	120	451	817	1132	40	40	9	100	99	0	457	750	871	112	113	19	100	99	0	1.191	1.218	1.035	1.051	1.737	1.314	0.808	120	820	756	1415	0.253	411	345	777	638	0
H70-g1	HSP-70	3250	8870	130	531	646	475	39	40	9	100	100	0	591	683	405	115	115	19	100	100	0	1.034	1.069	1.033	1.037	1.428	1.119	0.915	120	940	968	1175	0.048	492	476	607	568	0
G45-l1	40S Ribosomal protein S26	3230	9260	150	42	46	21	40	41	9	23	9	0	126	134	41	114	115	19	37	17	0	0.167	0.3	0.359	0.367	3.647	0.263	0.194	156	1272	14	26	-2.585	2	12	6	20	-50
CAT-l1	Unknown aj409363	3230	9670	120	96	133	105	40	40	9	93	88	0	239	270	118	115	115	19	99	97	0	0.452	0.6	0.554	0.453	2.191	0.701	0.718	120	820	180	248	-1.147	56	124	93	155	0
SRC-o2	Unknown aj310516	3220	10070	120	201	270	215	40	41	10	96	95	0	327	363	156	116	117	19	100	98	0	0.763	0.931	0.809	0.736	1.958	1.127	0.859	120	820	372	477	-0.39	161	211	230	247	0
H27-l3	Chromosome condensation protein	3240	10440	130	66	105	124	39	40	9	82	64	0	190	219	89	115	116	19	96	82	0	0.36	0.635	0.437	0.444	2.924	1.013	0.496	120	940	102	170	-1.474	27	75	66	104	0
FYN-l4	c-fyn	3240	10870	120	445	477	285	39	40	9	99	99	0	567	627	304	115	116	20	100	100	0	0.898	0.855	0.879	0.798	1.526	0.884	0.934	120	820	858	950	-0.155	406	452	438	512	0
ALAS-o26	NADP-menadione oxidoreductase	3260	11270	120	172	173	52	39	40	9	100	100	0	284	285	69	117	118	20	99	96	0	0.796	0.798	0.806	0.807	1.517	0.764	0.794	120	810	300	302	-0.328	133	167	134	168	0
SHT1A1	Complement component C3	3630	7680	120	2231	2178	896	40	41	9	100	100	0	1676	1654	626	115	115	19	100	100	0	1.404	1.389	1.416	1.342	1.5	1.416	0.929	120	820	3752	3677	0.489	2191	1561	2138	1539	0
NPT-1	Neomycin phosphotransferase	3640	8080	120	316	366	263	39	41	9	99	99	0	284	318	153	114	114	19	98	97	0	1.629	1.603	1.576	1.584	1.549	1.789	0.745	120	820	447	531	0.704	277	170	327	204	0
TGF-l1	Translation elongation factor 1-d	3650	8480	120	467	922	1434	40	41	9	100	100	0	452	737	867	113	114	19	100	100	0	1.26	1.413	1.256	1.221	1.595	1.697	0.76	120	820	766	1506	0.333	427	339	882	624	0
H70-g1	HSP-70	3640	8870	120	539	643	456	40	41	9	100	100	0	583	682	379	113	114	18	100	100	0	1.062	1.06	1.031	0.977	1.428	1.124	0.937	120	820	969	1172	0.086	499	470	603	569	0
G45-l1	40S Ribosomal protein S26	3630	9260	150	43	49	31	40	41	10	23	9	0	123	131	39	111	113	19	38	20	0	0.25	0.45	0.455	0.43	3.456	0.381	0.159	156	1272	15	29	-2	3	12	9	20	-50
CAT-l1	Unknown aj409363	3640	9650	130	97	131	110	40	41	9	93	85	0	226	261	104	113	115	19	98	95	0	0.504	0.615	0.524	0.432	2.412	0.777	0.709	120	940	170	239	-0.987	57	113	91	148	0
SRC-o2	Unknown aj310516	3610	10050	120	221	272	226	40	41	9	92	92	0	308	352	155	113	114	18	99	99	0	0.928	0.971	0.869	0.763	2.016	1.189	0.824	120	820	376	471	-0.107	181	195	232	239	0
H27-l3	Chromosome condensation protein	3630	10470	140	52	88	127	39	40	9	60	41	0	181	209	84	115	116	19	90	73	0	0.197	0.521	0.286	0.291	3.563	1.197	0.373	156	1140	79	143	-2.344	13	66	49	94	0
FYN-l4	c-fyn	3660	10880	120	475	488	281	40	41	9	100	100	0	581	639	317	117	117	20	100	100	0	0.938	0.858	0.877	0.832	1.366	0.866	0.931	120	820	899	970	-0.093	435	464	448	522	0
ALAS-o26	NADP-menadione oxidoreductase	3620	11270	120	181	180	59	39	40	9	98	96	0	297	297	76	117	117	20	99	98	0	0.789	0.783	0.809	0.761	1.539	0.766	0.812	120	810	322	321	-0.342	142	180	141	180	0
SHT1A1	Complement component C3	4010	7650	130	2236	2259	900	40	41	9	100	100	0	1721	1705	664	116	117	19	100	100	0	1.368	1.396	1.41	1.406	1.316	1.403	0.947	120	930	3801	3808	0.452	2196	1605	2219	1589	0
NPT-1	Neomycin phosphotransferase	4050	8050	120	321	344	187	40	41	9	99	99	0	273	299	107	114	115	19	100	100	0	1.767	1.643	1.699	1.513	1.838	1.756	0.846	120	820	440	489	0.822	281	159	304	185	0
